id,text
1,These noise-cancelling headphones exceeded my expectations — crystal clear sound.
2,The package arrived damaged and customer service never responded. Very disappointed.
3,
4,"   "
5,"Absolutely love the latest update, the interface is so much smoother now!"
6,Worst dining experience I've had in years: cold food and rude staff.
7,The hiking boots are comfortable and held up great on rough trails.
8,
9,"This phone case cracked within a week. Cheap material, would not recommend."
10,Fantastic value for the price and it shipped a day early.
